9.00E+00,1.15E+01,
1.11E+01,1.07E+01,
9.95E+00,1.17E+01,
1.16E+01,1.22E+01,
1.23E+01,1.22E+01,
1.20E+01,1.28E+01,
1.03E+01,1.02E+01,
7.96E+00,0.00E+00,
8.37E+00,0.00E+00,
2.51E+00,0.00E+00,
3.73E-01,0.00E+00,
