0,2.30E-03,-2.05E+01,,
0.075,-3.12E-03,2.97E+01,,
0.152,2.69E-03,-2.56E+01,,
0.214,-1.34E-03,1.36E+01,,
0.287,-2.87E-06,2.39E-02,,
0.353,-2.88E-03,2.66E+01,,
0.422,2.23E-03,-2.52E+01,,
0.491,2.32E-03,-2.27E+01,,
0.561,1.87E-03,-1.62E+01,,
0.639,-1.45E-03,1.38E+01,,
0.709,1.66E-03,-1.91E+01,,
0.778,-3.83E-03,3.33E+01,,
0.852,3.17E-03,-2.60E+01,,
0.917,1.89E-03,-2.17E+01,,
0.987,-3.57E-03,3.01E+01,,
1.057,-5.91E-03,4.52E+01,,
1.125,3.39E-03,-2.80E+01,,
1.204,-4.39E-03,3.77E+01,,
1.286,-2.73E-03,2.13E+01,,
1.343,4.92E-04,-3.58E+00,,
1.412,2.78E-03,-2.40E+01,,
1.482,2.52E-04,-1.88E+00,,
1.552,2.60E-03,-2.30E+01,,
1.62,-2.18E-03,1.60E+01,,
1.689,4.49E-06,-2.89E-02,,
1.768,1.82E-03,-1.24E+01,,
1.837,3.79E-03,-3.02E+01,,
1.906,-4.29E-03,2.94E+01,,
1.976,1.37E-03,-9.06E+00,,
2.052,3.52E-03,-2.72E+01,,
2.115,-4.33E-03,3.56E+01,,
2.184,-2.44E-03,1.63E+01,,
2.292,1.91E-03,-1.24E+01,,
2.332,-4.90E-04,3.97E+00,,
2.402,3.11E-03,-2.40E+01,,
2.471,-3.22E-04,1.98E+00,,
2.552,2.43E-03,-1.80E+01,,
2.61,-6.81E-03,4.56E+01,,
2.68,-2.24E-03,1.80E+01,,
2.752,2.58E-03,-2.01E+01,,
2.818,-2.44E-03,1.66E+01,,
2.897,2.13E-03,-1.95E+01,,
2.966,-4.52E-03,3.52E+01,,
3.036,1.96E-03,-1.40E+01,,
3.105,4.81E-03,-4.05E+01,,
3.174,-2.91E-03,2.11E+01,,
3.285,3.82E-03,-3.10E+01,,
3.313,1.52E-03,-1.21E+01,,
3.383,-5.71E-03,3.52E+01,,
3.46,-7.69E-03,4.90E+01,,
3.53,1.94E-03,-1.41E+01,,
3.599,-4.45E-03,3.04E+01,,
3.67,6.07E-03,-4.00E+01,,
3.738,-2.01E-04,1.53E+00,,
3.808,1.91E-03,-1.34E+01,,
3.877,-5.82E-03,3.20E+01,,
3.953,6.90E-03,-4.40E+01,,
4.025,-3.57E-03,2.58E+01,,
4.094,1.58E-03,-1.05E+01,,
4.164,-5.18E-03,2.93E+01,,
4.233,-1.28E-03,9.00E+00,,
4.303,3.22E-03,-2.34E+01,,
4.372,-3.94E-03,2.29E+01,,
4.452,-4.87E-04,2.94E+00,,
4.511,1.80E-03,-1.22E+01,,
4.589,1.31E-03,-8.83E+00,,
4.659,-4.32E-03,2.40E+01,,
4.728,3.97E-03,-2.49E+01,,
4.798,2.06E-04,-1.45E+00,,
4.866,5.72E-03,-3.36E+01,,
4.936,2.73E-03,-1.69E+01,,
5.005,-4.19E-03,2.66E+01,,
5.075,3.17E-03,-1.96E+01,,
5.158,1.97E-03,-1.08E+01,,
5.223,2.93E-03,-1.74E+01,,
5.292,-5.90E-03,3.42E+01,,
5.361,5.73E-03,-3.63E+01,,
5.431,4.35E-03,-2.79E+01,,
5.5,-3.05E-03,1.87E+01,,
5.57,-6.45E-03,3.31E+01,,
5.639,1.09E-04,-6.78E-01,,
5.717,-5.45E-03,3.41E+01,,
5.787,1.31E-03,-8.04E+00,,
5.858,-5.87E-03,3.14E+01,,
5.926,1.11E-03,-6.82E+00,,
5.996,-6.84E-03,3.83E+01,,
6.065,-5.05E-03,2.35E+01,,
6.134,4.34E-03,-2.33E+01,,
6.204,5.86E-03,-3.35E+01,,
6.292,-6.95E-03,3.60E+01,,
6.351,3.16E-03,-1.39E+01,,
6.421,5.38E-03,-3.01E+01,,
6.491,7.61E-03,-4.15E+01,,
6.562,-3.47E-03,1.56E+01,,
6.629,4.11E-03,-2.03E+01,,
6.698,5.22E-04,-2.52E+00,,
6.768,8.59E-03,-3.62E+01,,
6.852,-7.99E-03,3.45E+01,,
6.915,5.25E-03,-2.68E+01,,
6.985,-1.83E-03,8.55E+00,,
7.058,8.01E-03,-3.94E+01,,
7.123,4.59E-03,-2.40E+01,,
7.193,4.17E-03,-2.00E+01,,
7.291,6.64E-03,-3.29E+01,,
7.332,2.52E-03,-1.32E+01,,
7.41,-5.13E-03,2.33E+01,,
7.48,-6.96E-03,3.17E+01,,
7.552,4.97E-03,-2.38E+01,,
7.619,-8.56E-04,4.38E+00,,
7.688,-3.18E-03,1.38E+01,,
7.758,2.38E-03,-1.19E+01,,
7.827,4.05E-03,-1.80E+01,,
7.897,-9.84E-03,4.36E+01,,
7.975,5.59E-03,-2.52E+01,,
8.053,-7.84E-03,3.46E+01,,
8.114,-4.21E-03,1.81E+01,,
8.184,7.87E-03,-4.05E+01,,
8.287,4.04E-03,-1.98E+01,,
8.322,-3.77E-03,1.69E+01,,
8.391,-9.43E-03,4.43E+01,,
8.46,7.40E-03,-3.96E+01,,
8.539,4.15E-03,-2.01E+01,,
8.608,-6.23E-03,2.77E+01,,
8.678,2.32E-03,-1.10E+01,,
8.753,-6.76E-03,3.58E+01,,
8.818,3.66E-03,-1.64E+01,,
8.886,4.17E-03,-2.25E+01,,
8.959,-5.27E-04,3.21E+00,,
9.025,-8.34E-03,4.21E+01,,
9.103,4.16E-03,-2.15E+01,,
9.173,-6.69E-03,3.59E+01,,
9.288,-4.53E-03,2.45E+01,,
9.323,2.33E-03,-1.19E+01,,
9.381,3.59E-03,-1.94E+01,,
9.453,-8.13E-03,4.03E+01,,
9.52,-2.92E-03,1.64E+01,,
9.59,-2.88E-03,1.77E+01,,
9.668,-3.73E-03,2.07E+01,,
9.738,-1.57E-04,7.78E-01,,
9.807,-7.66E-05,4.68E-01,,
9.876,-5.36E-03,2.92E+01,,
9.957,-3.31E-03,1.60E+01,,
10.016,2.17E-03,-1.37E+01,,
10.085,1.14E-03,-6.80E+00,,
10.158,5.89E-03,-3.31E+01,,
10.233,2.14E-03,-1.11E+01,,
10.301,7.54E-03,-4.50E+01,,
10.371,5.85E-04,-3.20E+00,,
10.453,5.20E-03,-3.34E+01,,
10.509,-3.81E-04,2.18E+00,,
10.579,-4.74E-03,2.47E+01,,
10.653,4.48E-03,-2.63E+01,,
10.718,1.32E-03,-8.66E+00,,
10.796,-1.65E-03,9.58E+00,,
10.866,-7.76E-03,4.37E+01,,
10.935,6.71E-03,-4.14E+01,,
11.004,1.52E-03,-1.05E+01,,
11.074,-3.65E-03,2.05E+01,,
11.153,6.51E-03,-3.99E+01,,
11.213,1.38E-03,-1.10E+01,,
11.286,-3.14E-03,2.11E+01,,
11.361,-2.91E-03,1.76E+01,,
11.43,3.60E-04,-2.83E+00,,
11.5,-3.07E-03,2.13E+01,,
11.569,4.79E-03,-3.32E+01,,
11.639,-5.13E-03,3.19E+01,,
11.708,6.52E-03,-4.95E+01,,
11.777,4.45E-03,-2.94E+01,,
11.852,1.89E-03,-1.12E+01,,
11.925,-6.05E-03,3.86E+01,,
11.994,-6.97E-03,5.12E+01,,
12.063,-5.69E-03,3.64E+01,,
12.134,-2.13E-03,1.43E+01,,
